T	S1
0	0.182515
1	0.168723
2	0.154093
3	0.138702
4	0.122635
5	0.105980
6	0.088825
7	0.071265
8	0.053395
9	0.035311
10	0.017111
11	-0.001106
12	-0.019242
13	-0.037202
14	-0.054889
15	-0.072209
16	-0.089072
17	-0.105389
18	-0.121078
19	-0.136057
20	-0.150251
21	-0.163590
22	-0.176009
23	-0.187449
24	-0.197857
25	-0.207185
26	-0.215395
27	-0.222454
28	-0.228334
29	-0.233017
30	-0.236492
31	-0.238753
32	-0.239802
33	-0.239649
34	-0.238311
35	-0.235809
36	-0.232174
37	-0.227441
38	-0.221651
39	-0.214851
40	-0.207095
41	-0.198439
42	-0.188944
43	-0.178675
44	-0.167703
45	-0.156099
46	-0.143937
47	-0.131294
48	-0.118248
49	-0.104877
50	-0.091261
51	-0.077478
52	-0.063609
53	-0.049730
54	-0.035916
55	-0.022243
56	-0.008781
57	0.004401
58	0.017237
59	0.029666
60	0.041630
61	0.053076
62	0.063954
63	0.074221
64	0.083837
65	0.092767
66	0.100984
67	0.108462
68	0.115184
69	0.121136
70	0.126310
71	0.130703
72	0.134318
73	0.137162
74	0.139246
75	0.140587
76	0.141205
77	0.141126
78	0.140377
79	0.138990
80	0.137000
81	0.134445
82	0.131364
83	0.127799
84	0.123793
85	0.119393
86	0.114642
87	0.109588
88	0.104277
89	0.098755
90	0.093066
91	0.087257
92	0.081370
93	0.075448
94	0.069529
95	0.063653
96	0.057855
97	0.052167
98	-0.224884
99	0.204451
100	0.187751
101	-0.243472
102	0.076248
103	0.259822
104	-0.206918
105	-0.059373
106	0.288243
107	-0.124558
108	-0.178413
109	0.265385
110	-0.014367
111	-0.259846
112	0.193771
113	0.100551
114	-0.289662
115	-0.175968
116	-0.463468
117	-0.328887
118	0.587943
119	0.629644
120	-0.629037
121	-0.753566
122	0.406080
123	0.589206
124	-0.066020
125	-0.363795
126	-0.426030
127	0.047274
128	0.760176
129	0.125679
130	-0.942795
131	-0.295905
132	0.733294
133	0.408455
134	-0.625859
135	-0.102380
136	-0.429540
137	0.378207
138	0.832522
139	-0.749828
140	-0.908743
141	0.260662
142	0.758278
143	-0.109297
144	-0.534950
145	-0.311160
146	0.031945
147	0.543329
148	0.222171
149	-0.853521
150	-0.546181
151	0.696219
152	0.465169
153	-0.519524
154	-0.519126
155	-0.103484
156	0.255050
157	0.466813
158	-0.276433
159	-0.952254
160	0.011592
161	0.849361
162	-0.025853
163	-0.743582
164	-0.304318
165	0.137290
166	0.361731
167	0.201701
168	-0.667425
169	-0.687285
170	0.560660
171	0.671289
172	-0.513457
173	-0.678588
174	0.037486
175	0.322551
176	0.321652
177	-0.134626
178	-0.791478
179	-0.155022
180	0.896409
181	0.236554
182	-0.801228
183	-0.340302
184	0.375364
185	0.379789
186	0.157603
187	-0.405946
188	-0.601941
189	0.438262
190	0.889885
191	-0.287355
192	-0.775548
193	0.141055
194	0.571769
195	0.283564
196	-0.063035
197	-0.508797
198	-0.178568
199	0.860619
200	0.541877
201	-0.699822
202	-0.445431
203	0.576188
204	0.543701
205	0.072040
206	-0.250359
207	-0.406476
208	0.311230
209	0.950510
210	-0.011520
211	-0.838980
212	0.065419
213	0.795706
214	0.301709
215	-0.164270
216	-0.324972
217	-0.139008
218	0.681223
219	0.680849
220	-0.550433
221	-0.644021
222	0.565732
223	0.716341
224	-0.054360
225	-0.321596
226	-0.252600
227	0.190768
228	0.795029
229	0.163942
230	-0.861606
231	-0.184834
232	0.864513
233	0.368405
234	-0.380806
235	-0.332424
236	-0.064295
237	0.451720
238	0.611210
239	-0.400247
240	-0.828029
241	0.357735
242	0.838869
243	-0.120842
244	-0.552838
245	-0.198813
246	0.152315
247	0.532405
248	0.194544
249	-0.804958
250	-0.476029
251	0.760490
252	0.482160
253	-0.575428
254	-0.513567
255	0.010007
256	0.292268
257	0.388424
258	-0.305921
259	-0.911116
260	0.041683
261	0.851516
262	-0.084541
263	-0.830708
264	-0.288900
265	0.194910
266	0.286075
267	0.069076
268	-0.705240
269	-0.689619
270	0.516517
271	0.588093
272	-0.647596
273	-0.787509
274	0.031893
275	0.277457
276	0.137592
277	-0.294286
278	-0.846103
279	-0.223533
280	0.772173
281	0.079995
282	-0.977858
283	-0.447518
284	0.334357
285	0.235124
286	-0.076257
287	-0.540799
288	-0.660079
289	0.323276
290	0.729781
291	-0.456860
292	-0.925079
293	0.079756
294	0.517061
295	0.103508
296	-0.246043
297	-0.553912
298	-0.203679
299	0.758704
300	0.198722
301	-0.244657
302	0.010390
303	0.301225
304	-0.132163
305	-0.069338
306	0.353557
307	0.015858
308	-0.123735
309	0.351426
310	0.176573
311	-0.136602
312	0.300824
313	0.324367
314	-0.100173
315	0.216613
316	0.435543
317	-0.016876
318	0.119402
319	0.492652
320	0.100899
321	0.031332
322	0.487642
323	0.232986
324	-0.028396
325	0.423234
326	0.355171
327	-0.047388
328	0.312262
329	0.443755
330	-0.022540
331	0.175119
332	0.480085
333	0.039327
334	0.035809
335	0.454173
336	0.122828
337	-0.082627
338	0.366710
339	0.207096
340	-0.162432
341	0.229094
342	0.269990
343	-0.194367
344	0.061438
345	0.292610
346	-0.179241
347	-0.111042
348	0.263238
349	-0.127456
350	-0.262589
351	0.179922
352	-0.056664
353	-0.371542
354	0.051195
355	0.011987
356	-0.424180
357	-0.105227
358	0.058280
359	-0.417036
360	-0.265541
361	0.067161
362	-0.357255
363	-0.404160
364	0.031922
365	-0.260954
366	-0.498410
367	-0.044270
368	-0.149896
369	-0.532730
370	-0.148826
371	-0.047148
372	-0.501561
373	-0.262077
374	0.027436
375	-0.410389
376	-0.361071
377	0.061033
378	-0.274731
379	-0.424080
380	0.050233
381	-0.117254
382	-0.434939
383	0.001529
384	0.036406
385	-0.386390
386	-0.070173
387	0.162355
388	-0.281748
389	-0.144716
390	0.242756
391	-0.134567
392	-0.200901
393	0.268956
394	0.033650
395	-0.220918
396	0.242826
397	0.197271
398	-0.194115
399	0.176071
400	0.331174
401	-0.119369
402	0.087670
403	0.415312
404	-0.005576
405	-0.000051
406	0.438342
407	0.129845
408	-0.065936
409	0.399637
410	0.264153
411	-0.094230
412	0.309286
413	0.373585
414	-0.077700
415	0.186093
416	0.437919
417	-0.019028
418	0.053966
419	0.444426
420	0.158617
421	0.151719
422	0.144215
423	0.136170
424	0.127647
425	0.118713
426	0.109436
427	0.099884
428	0.090127
429	0.080233
430	0.070270
431	0.060303
432	0.050399
433	0.040620
434	0.031025
435	0.021672
436	0.012616
437	0.003906
438	-0.004411
439	-0.012294
440	-0.019704
441	-0.026608
442	-0.032979
443	-0.038792
444	-0.044029
445	-0.048678
446	-0.052729
447	-0.056180
448	-0.059032
449	-0.061292
450	-0.062970
451	-0.064083
452	-0.064650
453	-0.064694
454	-0.064244
455	-0.063331
456	-0.061988
457	-0.060253
458	-0.058164
459	-0.055764
460	-0.053095
461	-0.050200
462	-0.047126
463	-0.043917
464	-0.040619
465	-0.037277
466	-0.033936
467	-0.030638
468	-0.027425
469	-0.024336
470	-0.021411
471	-0.018683
472	-0.016185
473	-0.013946
474	-0.011992
475	-0.010347
476	-0.009029
477	-0.008053
478	-0.007430
479	-0.007169
480	-0.007273
481	-0.007741
482	-0.008569
483	-0.009748
484	-0.011267
485	-0.013110
486	-0.015258
487	-0.017688
488	-0.020375
489	-0.023291
490	-0.026404
491	-0.029682
492	-0.033089
493	-0.036588
494	-0.040140
495	-0.043708
496	-0.047249
497	-0.050725
498	-0.054095
499	-0.057318
500	-0.060356
501	-0.063171
502	-0.065724
503	-0.067982
504	-0.069912
505	-0.071481
506	-0.072662
507	-0.073430
508	-0.073761
509	-0.073636
510	-0.073040
511	-0.071959
512	-0.070386
513	-0.068314
514	-0.065743
515	-0.062675
516	-0.059115
517	-0.055075
518	-0.050568
519	-0.045611
520	-0.040225
521	-0.034434
522	-0.028265
523	-0.021750
524	-0.014920
525	-0.007812
526	-0.000464
527	0.007084
528	0.014791
529	0.022613
530	0.030506
531	0.038425
532	0.046324
533	0.054157
534	0.061879
535	0.069443
536	0.076805
537	0.083922
538	0.090752
539	0.097253
540	0.103387
541	0.109117
542	0.114409
543	0.119231
544	0.123554
545	0.127352
546	0.130602
547	0.133283
548	0.135381
549	0.136880
550	0.137773
551	0.138052
552	0.137715
553	0.136762
554	0.135199
555	0.133031
556	0.130270
557	0.126930
558	0.123028
559	0.118583
560	0.113618
561	0.108158
562	0.102230
563	0.095863
564	0.089090
565	0.081943
566	0.074456
567	0.066667
568	0.058610
569	0.050324
570	0.041847
571	0.033217
572	0.024473
573	0.015653
574	0.006795
575	-0.002064
576	-0.010887
577	-0.019638
578	-0.028284
579	-0.036789
580	-0.045123
581	-0.053255
582	-0.061156
583	-0.068800
584	-0.076160
585	-0.083214
